energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri,name,artist
0.504,0.14,98.077,0.195,0.606,0.00567,4,0.742,1,110944,-8.596,0.494,1,spotify:track:0VhfZo2uwcWnQGExuOxNKq,Ojo de Halcón,Hoke
0.534,0.0949,87.215,0.345,0.608,0.00576,4,0.665,10,198621,-9.749,0.858,0,spotify:track:0nDFRlto0k3TTpNONZ2dWe,Calle Cortada,Ill Pekeño
0.669,0.114,133.887,0.282,0.517,2.49e-05,4,0.772,8,207313,-6.107,0.858,0,spotify:track:1fyCvJYDqc6ieWbvf0k1Vy,Jjjj,Hoke
0.681,0.159,90.273,0.399,0.621,0.0,4,0.67,5,197333,-8.557,0.712,1,spotify:track:51kzHiwV2gqYOakB0HGh8d,Desamparados,Hoke
0.669,0.13,133.931,0.134,0.382,0.000423,4,0.861,11,152239,-6.806,0.776,0,spotify:track:7cGa3beFdDoIzys3xMDV1G,Olympique,Hoke
0.856,0.3,145.98,0.16,0.354,9.18e-06,4,0.764,6,210411,-2.742,0.545,0,spotify:track:267k2yc2PxqWTwtdiOJbbg,A MI MANERA,Bejo
0.639,0.11,172.37,0.32,0.564,0.0,3,0.469,10,240000,-5.381,0.534,0,spotify:track:3qXZqXGniqNt3PK2CBSZgM,Si La Calle Llama - Remix,Eladio Carrion
0.684,0.168,130.038,0.0512,0.548,0.0,4,0.712,7,147692,-4.887,0.513,1,spotify:track:2lmWwBLVJ2P0HX491zkYws,Mbappe,Eladio Carrion
0.787,0.251,153.992,0.146,0.203,0.0,4,0.584,1,197375,-4.706,0.765,0,spotify:track:1IbYD5V9zCvkPfIPcWqerO,Gladiador - Remix,Eladio Carrion
0.594,0.0926,126.027,0.316,0.403,0.0,4,0.821,2,125125,-5.601,0.369,1,spotify:track:5GZ4tx6VZxM7V4IQtSJFyx,El Hokage,Eladio Carrion
0.74,0.21,90.044,0.0684,0.179,0.0,4,0.614,4,219752,-5.031,0.247,0,spotify:track:1PtXtGJSDKTkB5urVEZ7rf,Padre Tiempo,Eladio Carrion
0.788,0.0426,81.032,0.166,0.163,0.0,4,0.669,3,201560,-5.226,0.812,0,spotify:track:7GfQEUSuqYGeY2L0BfVOXM,Si Salimos,Eladio Carrion
0.663,0.113,171.942,0.294,0.798,0.0,4,0.544,4,265125,-7.38,0.3,0,spotify:track:1eB5OgZdHXAvFgYMPvv1LI,Brixton,Midas Alonso
0.75,0.258,133.963,0.268,0.304,1.04e-06,4,0.519,8,366000,-8.076,0.652,0,spotify:track:71CmmeQnoVpTAlMtxEevaf,Santo Grial,Dano
0.654,0.131,89.852,0.39,0.401,1.18e-06,4,0.725,3,108250,-9.061,0.772,0,spotify:track:6N6i8cJC82imepxf1c6049,Ghostface Killer,Israel B
0.686,0.0957,153.972,0.167,0.178,0.00876,4,0.79,2,212377,-6.254,0.572,1,spotify:track:5EYVguh1O121rFe762L7Sz,VIRGENSITA,Elio Toffana
0.607,0.542,125.824,0.159,0.222,0.0,4,0.715,0,175607,-5.619,0.609,0,spotify:track:5cOIuxVSEYEdxQRS8V23T1,Shining,Delaossa
0.62,0.195,73.415,0.356,0.0697,0.0,4,0.45,2,225187,-7.096,0.273,1,spotify:track:36j84tWQgMpbqExZC7dCjG,Operaciones,Dano
0.628,0.289,124.796,0.23,0.747,6.52e-06,4,0.563,9,178560,-5.723,0.477,1,spotify:track:3oCSBlJniNwxVQfq1R2ROt,Hugo,Eladio Carrion
0.783,0.145,87.093,0.348,0.322,1.36e-06,4,0.608,10,181807,-5.934,0.403,0,spotify:track:32BEfuCqjUgQW472NCHhK8,Riquelme & Okocha,Ergo Pro
0.734,0.41,168.922,0.399,0.617,0.0,4,0.52,6,137143,-5.419,0.79,0,spotify:track:0nossc9MZd0RIbYZMrazge,96ERS,Hoke
0.421,0.0874,129.976,0.494,0.869,0.000175,4,0.851,9,140308,-13.727,0.184,0,spotify:track:3HXJPxoSjgA9YAgjFI4Yn9,Moondial,Hoke
0.402,0.127,86.072,0.406,0.608,0.0,4,0.537,8,199875,-12.9,0.581,0,spotify:track:5lsFas5fTdn2RJS66gvCwS,HI TECH,Hoke
0.708,0.0939,97.476,0.0647,0.399,3.35e-06,3,0.658,7,187046,-6.589,0.364,1,spotify:track:7v40JoYNsYFVL0zbDf1AFX,Ni soy santo...,DELLAFUENTE
0.713,0.139,106.007,0.125,0.139,0.0,4,0.854,4,205960,-7.413,0.892,1,spotify:track:6dup8GvSfdKu3NBj4ebnsB,DANCE CRIP - Live At NPR's Tiny Desk,Trueno
0.54,0.411,178.023,0.113,0.446,0.0,4,0.653,1,129600,-7.865,0.803,0,spotify:track:40jzfPbhrUOck9EwCcclEL,BIEN O MAL - Live At NPR's Tiny Desk,Trueno
0.675,0.401,178.121,0.152,0.746,0.0,4,0.494,4,86680,-6.897,0.572,1,spotify:track:1RNifvxHKgdDDgi9niMx91,FREESTYLE - Live At NPR's Tiny Desk,Trueno
0.575,0.446,87.621,0.0534,0.717,0.0,4,0.729,4,91160,-8.339,0.587,0,spotify:track:7mrLX9I9LbKwA2e9rwHdVb,ARGENTINA - Live At NPR's Tiny Desk,Trueno
0.727,0.172,104.831,0.234,0.365,0.0,4,0.779,8,254560,-7.91,0.32,1,spotify:track:1awVUHKGtBSjqoQAp8bvc0,TIERRA ZANTA - Live At NPR's Tiny Desk,Trueno
0.686,0.649,89.863,0.409,0.953,5.17e-05,5,0.543,8,182831,-7.848,0.562,1,spotify:track:1EljzqiV1RDtXj1QUbx3db,Rain,Trueno
0.624,0.111,95.07,0.261,0.419,0.0,4,0.73,11,245723,-7.678,0.826,1,spotify:track:0rnZoY4wdBcLPHTAa8p8IK,Luzbel,Arce
0.68,0.197,81.693,0.497,0.16,0.0,3,0.591,6,211257,-5.474,0.626,0,spotify:track:7IOPzkpBSVyfBwrxb92BpK,SUGAR HILL,Saske
0.735,0.121,96.478,0.15,0.204,0.0,4,0.661,1,224381,-5.709,0.39,1,spotify:track:4wFNVw3JthtNHWgTmRiOE4,MAGNETO,Elio Toffana
0.656,0.0923,174.988,0.0813,0.208,0.0,3,0.594,7,221203,-5.628,0.241,0,spotify:track:1eg8EWKfaRltn806sZvuDa,Mal Agüero,Delaossa
0.723,0.075,91.784,0.187,0.615,0.0,4,0.637,6,258587,-4.476,0.708,1,spotify:track:5BopknbHSxEm9Ohcs4IbGu,Veneno,Delaossa
0.736,0.0947,159.885,0.0644,0.543,0.0,4,0.542,4,242286,-4.904,0.424,0,spotify:track:4CgqzEBRW3AeuAVoDjisiZ,Me Has Dejado,Nicki Nicole
0.642,0.328,164.867,0.411,0.194,0.0,4,0.662,7,164978,-8.139,0.206,0,spotify:track:06LY0QY2PjqAMfPRyOheJQ,No Soy Perfecto,Delaossa
0.759,0.29,97.092,0.25,0.161,0.0,4,0.662,6,191704,-6.621,0.866,1,spotify:track:2x24RnqY2Q2KwFpTZd3sCX,Marbella,Delaossa
0.646,0.0692,93.141,0.424,0.045,0.0,4,0.672,2,203871,-4.105,0.221,0,spotify:track:0oNUaPy2lpG1kWsXm4FV9g,Cómo Me Voy a Olvidar,Delaossa
0.555,0.0963,124.994,0.0508,0.516,0.0,4,0.797,2,204984,-6.913,0.524,0,spotify:track:0KYudNG4ej2ADypkcAo3Bu,Habanera,L'haine
0.599,0.0505,122.164,0.164,0.614,0.0079,5,0.516,11,181227,-7.895,0.32,0,spotify:track:0nCpfvOeh0dWsDAfs9pNSy,No Gifts Allowed,Ébano
0.47,0.104,108.749,0.227,0.313,0.00418,4,0.517,0,233400,-6.831,0.293,0,spotify:track:6KPHevt9LknO2G1jfGj3g8,Overdosin,Ébano
0.531,0.247,111.951,0.439,0.398,0.000159,5,0.614,1,185714,-9.704,0.452,1,spotify:track:4Pm0V4WKdPq1OLMW36CAl3,Rey,Ébano
0.388,0.279,113.98,0.0623,0.49,0.0033,4,0.594,0,160000,-10.41,0.188,0,spotify:track:4SveVvBe9W3aLh7imU9AzA,No Justice,Ébano
0.661,0.119,137.909,0.167,0.748,0.0,4,0.574,7,226093,-7.105,0.369,0,spotify:track:1J73Qdd8lKJBTSQor1aEar,Tout Le Monde,Ébano
0.652,0.0893,129.923,0.0634,0.735,2.52e-06,4,0.747,2,189375,-6.913,0.436,1,spotify:track:5DmlaZxQJDvygAQyHmucDN,Plaza Roma,Ébano
0.593,0.134,171.813,0.348,0.519,0.0152,4,0.383,7,218246,-10.184,0.434,0,spotify:track:3IyGCG8XgQzmNJZmolRbyn,Born in Jail,Ébano
0.556,0.0796,95.92,0.366,0.696,0.00259,4,0.609,7,182500,-10.081,0.62,1,spotify:track:4tNGl7OIYRcky03Mn3E7bj,Chorbo Real,Hoke
0.599,0.14,91.006,0.137,0.495,0.000528,4,0.715,1,150330,-7.125,0.537,0,spotify:track:5nVcYqS5FhyZlOMMPwfLNl,Medallones,Hoke
0.542,0.112,99.98,0.125,0.177,0.0,4,0.816,4,148500,-8.131,0.787,0,spotify:track:2UekgTucvpVfywPz5VTbow,Miedo y Asco en Madrid,Israel B
0.688,0.224,136.725,0.226,0.561,0.000165,4,0.524,7,113913,-8.973,0.621,1,spotify:track:1EvcBvh2Plk4o8nPe9E8Ay,Ill Pekeño - Fugitivo Vol. 11,Rico Rosa
0.611,0.109,78.615,0.258,0.145,1.35e-06,4,0.416,7,236223,-5.571,0.232,1,spotify:track:2Xbd0QHxu7odsC4IZRcqFK,NADIE VIVO,Elio Toffana
0.855,0.138,168.583,0.38,0.0844,0.0,4,0.425,10,171429,-6.519,0.398,0,spotify:track:3JIdMvH3D07jrN0LD5LfYM,Av. Rafaela Ybarra,Ill Pekeño
0.747,0.0882,96.112,0.392,0.3,0.0,5,0.779,1,166667,-7.031,0.671,1,spotify:track:13tNLQGclzEdP1Dko5Ahgx,Ergo Pro - Fugitivo Vol. 7,Rico Rosa
0.483,0.0842,127.958,0.0736,0.308,0.0,4,0.832,4,183020,-8.729,0.689,0,spotify:track:4aeGgZKl4YpWkF9TgTwjYN,Parezco Tonto,Delaossa
0.729,0.381,168.171,0.4,0.321,1.01e-06,4,0.478,4,218240,-7.348,0.428,0,spotify:track:6LHhgAJfWf9jcoO4auHr44,DON'T WASTE MY TIME,Elio Toffana
0.645,0.111,143.985,0.231,0.108,0.000519,4,0.78,0,149837,-7.584,0.379,1,spotify:track:6T3V7tEV5OFGUt5iF4y7W7,Lila & Snitch,Cruz Cafuné
0.719,0.0932,81.938,0.114,0.17,0.0,4,0.613,1,102185,-8.398,0.556,1,spotify:track:4MHnNkyHplSPPcxpJJeL7p,BALÓN DE ORO,Elio Toffana
0.638,0.345,156.974,0.413,0.129,2.52e-06,4,0.465,5,144000,-13.166,0.131,1,spotify:track:44YKZoirlYisGnQHuY9IOs,Humble Kids,Hoke
0.442,0.125,156.992,0.213,0.359,0.0118,4,0.61,5,168421,-11.766,0.259,0,spotify:track:0rLScHF4uCvDC61mXWZvaN,TURBO // Epifanía,Cruz Cafuné
0.735,0.197,98.707,0.215,0.345,0.0,4,0.765,11,167443,-3.628,0.674,0,spotify:track:5ynDRNBqzffgtqSSxuIovs,LO TENGO,Trueno
0.603,0.077,95.42,0.4,0.162,0.0,4,0.536,9,176865,-11.493,0.605,1,spotify:track:1efDfSv3g8AnJTuP3FpJLp,Tentaciones,Sosad.97
0.508,0.0952,102.028,0.346,0.479,8.32e-05,4,0.764,11,135735,-9.343,0.596,0,spotify:track:4LIT5GUMbNmBO6nbK9gRIc,Cuando Acabe la Noche,Sosad.97
0.539,0.103,98.043,0.218,0.514,0.0,4,0.786,4,198018,-6.587,0.469,0,spotify:track:6yw1EgXtejepbpKadSIVjl,La Culpa,Sosad.97
0.532,0.161,96.924,0.365,0.389,0.0,4,0.72,11,143893,-9.953,0.553,0,spotify:track:2HMy5Ls5VCEIUr7VRDYPL4,No Fame,Sosad.97
0.587,0.139,171.946,0.171,0.101,0.0,4,0.607,11,183000,-8.409,0.26,1,spotify:track:5tL5OWnOFNgGhRu3frvYGT,Shorty,FERNANDOCOSTA
0.798,0.0896,104.993,0.0513,0.397,0.0,3,0.747,2,149344,-6.335,0.127,1,spotify:track:3TYAP8JTrp84JQuk6Z5Gkm,Impala,Nissa
0.618,0.123,90.009,0.195,0.679,0.0205,4,0.709,2,154666,-6.903,0.461,1,spotify:track:7ATdQXyiiOhnIfuj3RtQiC,Automático,Hoke
0.618,0.116,99.988,0.122,0.156,0.0,4,0.82,5,165600,-7.81,0.56,0,spotify:track:6yFMFHrKheUyTxJIKryjNo,Young Pirri,Israel B
0.504,0.123,94.441,0.493,0.341,9.08e-05,3,0.602,5,129196,-9.288,0.669,0,spotify:track:0xAzuY0lzB7dsb8j0nDqCp,No Se Emula,Cruz Cafuné
0.632,0.114,182.039,0.328,0.0188,1.57e-05,4,0.603,8,129175,-4.74,0.271,1,spotify:track:4hojRqbysTSmEvJZBrHHnv,SHOCK WAVE,Elio Toffana
0.908,0.0686,91.044,0.321,0.095,2.36e-06,4,0.583,6,110769,-7.097,0.56,1,spotify:track:28te0koZCwjQZwb8vcwGSX,El Mas Pekeño de Mi Quinta,Ill Pekeño
0.762,0.0491,109.986,0.0627,0.565,0.000303,4,0.683,10,180582,-5.01,0.782,0,spotify:track:7k79Bg45SyXXjCKqSAjF8t,El cielo no es para mi,Hoke
0.809,0.214,172.07,0.389,0.113,1.37e-06,4,0.556,0,266512,-6.1,0.723,0,spotify:track:1TrSFCTp6I9yuro1W5JM2n,Culpable,Titó
0.478,0.0735,130.051,0.348,0.628,1.82e-06,4,0.596,0,168625,-9.812,0.22,1,spotify:track:4n0kSbGX13a7lZ4Yplv4WT,EL Ejército de un Hombre Solo,Israel B
0.626,0.128,92.379,0.359,0.22,0.0,4,0.73,1,140217,-7.101,0.825,1,spotify:track:5Hb4DXNabfKiTADE0KVYAz,J Dose - Fugitivo Vol. 15,Rico Rosa
