energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri,name,artist
0.82,0.563,91.034,0.0874,0.0536,0.0,4,0.693,7,199451,-4.761,0.604,1,spotify:track:0X8Cti1dfb4wCRiuW7O1lA,341 Lords,Ill Pekeño
0.855,0.138,168.583,0.38,0.0844,0.0,4,0.425,10,171429,-6.519,0.398,0,spotify:track:3JIdMvH3D07jrN0LD5LfYM,Av. Rafaela Ybarra,Ill Pekeño
0.646,0.1,87.847,0.361,0.195,0.0,4,0.791,4,196364,-8.586,0.589,0,spotify:track:0hwacTqU4grF4gD68dE4fj,AMG,Ill Pekeño
0.534,0.0949,87.215,0.345,0.608,0.00576,4,0.665,10,198621,-9.749,0.858,0,spotify:track:0nDFRlto0k3TTpNONZ2dWe,Calle Cortada,Ill Pekeño
0.601,0.31,82.941,0.364,0.0317,0.0,4,0.424,9,167347,-8.153,0.416,0,spotify:track:68dxVhzivEJYn2Epw39jdh,Tierra Abatida,Ill Pekeño
0.663,0.113,171.942,0.294,0.798,0.0,4,0.544,4,265125,-7.38,0.3,0,spotify:track:1eB5OgZdHXAvFgYMPvv1LI,Brixton,Midas Alonso
0.665,0.216,170.675,0.347,0.641,0.0,4,0.459,11,271412,-6.917,0.769,1,spotify:track:6RqrNNuk2fqHaiSB5FocRS,Bankinter,Midas Alonso
0.654,0.131,89.852,0.39,0.401,1.18e-06,4,0.725,3,108250,-9.061,0.772,0,spotify:track:6N6i8cJC82imepxf1c6049,Ghostface Killer,Israel B
0.58,0.105,176.109,0.42,0.248,9.81e-06,4,0.781,2,190721,-6.539,0.463,0,spotify:track:6PrUwIPmN4XrkIboe7fJzh,Yyanosé,Israel B
0.578,0.273,127.48,0.462,0.35,0.0,5,0.589,4,153789,-9.249,0.299,0,spotify:track:6quqFWuqhx2LUShAbSJmzb,BBS 2.2 (B2B2B),Israel B
0.783,0.145,87.093,0.348,0.322,1.36e-06,4,0.608,10,181807,-5.934,0.403,0,spotify:track:32BEfuCqjUgQW472NCHhK8,Riquelme & Okocha,Ergo Pro
0.706,0.191,79.383,0.335,0.581,1.16e-06,4,0.523,2,144578,-7.136,0.401,1,spotify:track:3XRPC41wHvQoE88ZGeyp0P,96 Mónica,Ergo Pro
0.681,0.0787,88.961,0.265,0.549,0.0,4,0.708,5,175955,-8.516,0.544,0,spotify:track:5jYIMzm4Te6dPNpzI7jSnQ,Triple Filtrado,Ergo Pro
0.72,0.184,71.316,0.397,0.373,0.0,1,0.467,1,211775,-8.048,0.678,0,spotify:track:5IbKmn5SMiioqXasu3n8XC,El Manual,Ergo Pro
0.504,0.14,98.077,0.195,0.606,0.00567,4,0.742,1,110944,-8.596,0.494,1,spotify:track:0VhfZo2uwcWnQGExuOxNKq,Ojo de Halcón,Hoke
0.631,0.545,99.905,0.398,0.528,3.23e-06,4,0.683,10,140400,-8.221,0.245,0,spotify:track:3s4Wm1hopOmLWiBt39i1Al,Five O,Hoke
0.556,0.0796,95.92,0.366,0.696,0.00259,4,0.609,7,182500,-10.081,0.62,1,spotify:track:4tNGl7OIYRcky03Mn3E7bj,Chorbo Real,Hoke
0.669,0.114,133.887,0.282,0.517,2.49e-05,4,0.772,8,207313,-6.107,0.858,0,spotify:track:1fyCvJYDqc6ieWbvf0k1Vy,Jjjj,Hoke
0.802,0.94,143.966,0.437,0.364,0.0885,4,0.661,10,66661,-8.937,0.614,0,spotify:track:6YzSVEItKYue0f3ZEJyyQL,Speedrun Skit,Hoke
0.681,0.159,90.273,0.399,0.621,0.0,4,0.67,5,197333,-8.557,0.712,1,spotify:track:51kzHiwV2gqYOakB0HGh8d,Desamparados,Hoke
0.599,0.14,91.006,0.137,0.495,0.000528,4,0.715,1,150330,-7.125,0.537,0,spotify:track:5nVcYqS5FhyZlOMMPwfLNl,Medallones,Hoke
0.71,0.0899,132.017,0.306,0.82,0.228,5,0.637,9,121212,-5.985,0.494,1,spotify:track:6mQGOlMMCOMww9wMglS9FB,TT,Hoke
0.618,0.123,90.009,0.195,0.679,0.0205,4,0.709,2,154666,-6.903,0.461,1,spotify:track:7ATdQXyiiOhnIfuj3RtQiC,Automático,Hoke
0.669,0.13,133.931,0.134,0.382,0.000423,4,0.861,11,152239,-6.806,0.776,0,spotify:track:7cGa3beFdDoIzys3xMDV1G,Olympique,Hoke
0.522,0.146,170.993,0.0829,0.81,0.0,4,0.433,5,92956,-9.323,0.19,0,spotify:track:3Y7D0PYm4F50C3LaBqZAr7,Santo,Hoke
0.701,0.106,95.008,0.383,0.149,0.0,4,0.808,0,151479,-8.064,0.664,1,spotify:track:3nTY3YjAN5gQN8nwm6M6Qm,No Hay Rencor,Sofía Gabanna
0.808,0.312,90.12,0.263,0.379,1.13e-06,4,0.696,2,172233,-5.554,0.62,0,spotify:track:7Kxw3tkhutGjI7rjdkZ3Cy,Fui Silencio,Sofía Gabanna
0.722,0.0792,100.074,0.432,0.215,0.000163,4,0.898,11,213590,-4.889,0.626,0,spotify:track:32zPbHOFBBPlxtkIRoTagb,Cuéntame,Sofía Gabanna
0.946,0.0789,126.96,0.301,0.621,0.113,4,0.712,6,200315,-5.067,0.622,1,spotify:track:43gFPlLuU9JRvJ399uJvgy,Animal,Costa
0.694,0.0836,127.971,0.0426,0.13,0.0,4,0.793,5,193125,-5.731,0.484,0,spotify:track:5R7l05dglCrUX0qjZ1Eec1,Cinderella,Cyril Kamer
0.693,0.251,136.046,0.0627,0.22,0.0,4,0.811,7,166213,-5.686,0.801,0,spotify:track:6FveHRXs0gcTE9GzFjnq6R,Angelina,Cyril Kamer
