valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release date,speechiness,tempo
0.202,2020,0.00574,"['21 Savage', 'Metro Boomin']",0.847,193591,0.733,True,6pcywuOeGGWeOQzdUyti6k,1.04e-05,10,0.151,-6.439,0,Glock In My Lap,87,2020-10-02,0.16,130.029
0.376,2020,0.325,['Hotel Ugly'],0.485,164571,0.409,False,3hxIUxnT27p5WcmjGUXNwx,0,9,0.103,-10.711,0,Shut up My Moms Calling,88,2020-02-10,0.101,138.419
0.06,2020,0.116,['Sleep Miracle'],0.0555,248000,0.0837,False,5UBonaClAZVfzxJNn8nnhh,1.0,1,0.112,-30.397,1,Brown Sleep Noise,85,2020-12-16,0.147,59.509
0.154,2020,0.0354,['Lil Baby'],0.962,144652,0.619,True,5m0yZ33oOy0yYBtdTXuxQe,0,10,0.083,-5.562,0,Low Down,83,2020-05-01,0.405,127.958
0.334,2020,0.00146,['The Weeknd'],0.514,200040,0.73,False,0VjIjW4GlUZAMYd2vXMi3b,9.54e-05,1,0.0897,-5.934,1,Blinding Lights,92,2020-03-20,0.0598,171.005
0.551,2020,0.537,['Taylor Swift'],0.613,239560,0.581,False,4R2kfaDFhslZEMJqAFNpdd,0.000345,0,0.25,-8.588,0,cardigan,88,2020-07-24,0.0424,130.033
0.274,2020,0.275,"['Diplo', 'Morgan Wallen']",0.765,169227,0.556,True,3FU6urUVsgXa6RBuV2PdRk,0,11,0.0824,-6.417,1,Heartless (feat. Morgan Wallen),81,2020-05-29,0.0512,111.033
0.581,2020,0.774,['Brent Faiyaz'],0.583,110129,0.344,True,2J6OF7CkpdQGSfm1wdclqn,0,2,0.143,-8.765,1,Clouded,82,2020-02-07,0.0559,65.203
0.415,2020,0.00748,"['21 Savage', 'Metro Boomin']",0.819,195906,0.626,True,5SWnsxjhdcEDc7LJjq9UHk,0.101,10,0.167,-4.574,0,Runnin,83,2020-10-02,0.202,143.01
0.34,2020,0.0861,"['Tyler, The Creator']",0.596,127921,0.575,True,3jHdKaLCkuNEkWcLVmQPCX,0.000153,11,0.334,-8.325,0,BEST INTEREST,83,2020-01-25,0.0514,98.265
0,2020,0.917,"['Dream Supplier', 'Baby Sleeps', 'Granular Noise']",0,142222,0.00832,False,0zirWZTcXBBwGsevrsIpvT,1.0,7,0.111,-26.712,1,Clean Baby Sleep White Noise (Loopable),85,2020-04-29,0,0
0.252,2020,0.0236,['The Weeknd'],0.537,198267,0.746,True,6bnF93Rx87YqUBLSgjiMU8,1.01e-06,10,0.156,-5.507,0,Heartless,87,2020-03-20,0.15,170.062
0.565,2020,0.258,['Playboi Carti'],0.785,193234,0.903,True,29TPjc8wxfz4XMn21O7VsZ,0,2,0.169,-4.184,1,Sky,84,2020-12-25,0.21,139.98
0.116,2020,0.345,['Polo G'],0.832,132833,0.534,True,1VLtjHwRWOVJiE5Py7JxoQ,0,1,0.165,-7.813,0,Martin & Gina,83,2020-05-15,0.253,93.924
0.553,2020,0.112,['Kali Uchis'],0.653,160191,0.524,False,6tDDoYIxWvMLTdKpjFkc1B,0,11,0.203,-9.016,0,telepatía,85,2020-12-04,0.0502,83.97
0.552,2020,0.268,['Chris Stapleton'],0.602,213493,0.477,False,2UikqkwBv7aIvlixeVXHWt,3.1e-05,9,0.173,-8.425,1,You Should Probably Leave,80,2020-11-13,0.032,183.89
0.403,2020,0.118,['A Boogie Wit da Hoodie'],0.539,133331,0.648,True,2xB46Bj9HZ4cr058yN4Pla,0,4,0.362,-6.008,1,Secrets,82,2020-06-19,0.0619,91.066
